ticker,date,open,high,low,close
CVNA,2018-01-18,20.32,20.44,19.76,20.24
CVNA,2018-01-19,20.18,20.965,20.145,20.86
CVNA,2018-01-22,20.85,21.35,20.19,20.35
CVNA,2018-01-23,20.24,21.0899,20.08,21.02
CVNA,2018-01-24,21.1,21.3576,20.24,20.75
CVNA,2018-01-25,20.89,20.89,20.16,20.34
CVNA,2018-01-26,20.35,20.52,19.57,19.74
CVNA,2018-01-29,19.52,19.52,18.61,18.81
CVNA,2018-01-30,18.73,19.1,18.51,19.0
CVNA,2018-01-31,19.15,19.68,18.97,19.09
CVNA,2018-02-01,19.0,19.07,18.2801,18.49
CVNA,2018-02-02,18.3,18.6764,18.041,18.3
CVNA,2018-02-05,18.1,18.39,17.52,17.57
CVNA,2018-02-06,17.14,18.51,16.86,18.48
CVNA,2018-02-07,18.35,19.59,18.231,18.49
CVNA,2018-02-08,18.56,18.95,17.64,17.66
CVNA,2018-02-09,17.84,18.17,16.58,18.1
CVNA,2018-02-12,18.21,19.74,17.84,19.64
CVNA,2018-02-13,19.6,20.87,19.3463,20.46
CVNA,2018-02-14,20.39,21.48,19.88,20.9
CVNA,2018-02-15,21.07,23.09,20.8,21.86
CVNA,2018-02-16,21.94,22.18,20.64,21.42
CVNA,2018-02-20,21.48,21.78,21.48,21.48
CVNA,2018-02-21,21.37,21.6,20.08,20.63
CVNA,2018-02-22,20.63,20.98,20.45,20.98
CVNA,2018-02-23,21.0,21.6786,20.895,21.38
CVNA,2018-02-26,21.57,22.62,21.512,21.88
CVNA,2018-02-27,21.86,22.1,20.6,20.72
CVNA,2018-02-28,20.88,21.19,19.98,20.04
CVNA,2018-03-01,20.17,20.2754,19.0,19.13
CVNA,2018-03-02,19.02,19.2575,18.58,18.73
CVNA,2018-03-05,18.54,18.865,17.91,18.63
CVNA,2018-03-06,18.81,18.92,18.01,18.68
CVNA,2018-03-07,16.249,18.37,16.02,17.46
CVNA,2018-03-08,17.66,17.66,16.51,17.01
CVNA,2018-03-09,18.24,18.62,17.89,18.03
CVNA,2018-03-12,18.05,18.97,18.0368,18.49
CVNA,2018-03-13,18.62,18.9,18.29,18.87
CVNA,2018-03-14,18.9,21.96,18.9,21.24
CVNA,2018-03-15,21.24,21.33,19.85,20.02
CVNA,2018-03-16,20.16,21.325,20.12,20.98
CVNA,2018-03-19,20.9,20.99,19.2,20.37
CVNA,2018-03-20,20.07,20.48,19.61,20.26
CVNA,2018-03-21,20.22,21.74,20.07,20.85
CVNA,2018-03-22,20.57,21.48,20.451,20.93
CVNA,2018-03-23,21.05,21.559,20.645,20.96
